2025-01-13 10:32:15,600 INFO    MainThread:38372 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_setup.py:_flush():68] Configure stats pid to 38372
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_setup.py:_flush():68] Loading settings from C:\Users\carli\.config\wandb\settings
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_setup.py:_flush():68] Loading settings from C:\Users\carli\Documents\clearml-ot2\wandb\settings
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_init.py:_log_setup():523] Logging user logs to C:\Users\carli\Documents\clearml-ot2\wandb\run-20250113_103215-p36tenfp\logs\debug.log
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_init.py:_log_setup():524] Logging internal logs to C:\Users\carli\Documents\clearml-ot2\wandb\run-20250113_103215-p36tenfp\logs\debug-internal.log
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_init.py:init():641] calling init triggers
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {}
2025-01-13 10:32:15,603 INFO    MainThread:38372 [wandb_init.py:init():674] starting backend
2025-01-13 10:32:15,829 INFO    MainThread:38372 [wandb_init.py:init():678] sending inform_init request
2025-01-13 10:32:15,838 INFO    MainThread:38372 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-01-13 10:32:15,840 INFO    MainThread:38372 [wandb_init.py:init():693] backend started and connected
2025-01-13 10:32:15,842 INFO    MainThread:38372 [wandb_init.py:init():786] updated telemetry
2025-01-13 10:32:15,923 INFO    MainThread:38372 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-01-13 10:32:16,216 INFO    MainThread:38372 [wandb_init.py:init():868] starting run threads in backend
2025-01-13 10:32:16,531 INFO    MainThread:38372 [wandb_run.py:_console_start():2415] atexit reg
2025-01-13 10:32:16,531 INFO    MainThread:38372 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-01-13 10:32:16,531 INFO    MainThread:38372 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-01-13 10:32:16,531 INFO    MainThread:38372 [wandb_run.py:_redirect():2355] Redirects installed.
2025-01-13 10:32:16,534 INFO    MainThread:38372 [wandb_init.py:init():910] run started, returning control to user process
